SEMBOL,ACKL,%FARK,SON,ALIŞ,SATIŞ,FARK,YÜKSEK,DÜŞÜK,T.ADET,T.HACİM,SAAT,G.HACIM,7GUN.ORT.HACIM,30GUN.ORT.HACIM,52HAFTA.ORT.HACIM,BUYIL.ORT.HACIM,NETFARKHACIM,HALK.ACK,IHRYUZDE,VA.IPT.VOL.AOF,VA.IPT.AL.VOL.AOF,VA.IPT.SAT.VOL.AOF,BORSA,SEKTOR,H.GRUP,ISL.TURU,XU030 DAKI AG.,XU050 DEKI AG.,XU100 DEKI AG.,XUTUM DEKI AG.,BORSASEMBOLU,G.ADET,BU.YIL.ORT.ADET,30GUN.ORT.ADET,7GUN.ORT.ADET,52HAFTA.ORT.ADET,7GUNLUK.YUKSEK,7GUNLUK.DUSUK,30GUNLUK.YUKSEK,30GUNLUK.DUSUK,BU.YIL.YÜK.,BU.YIL.DÜŞ.,52HAFTALIK.YUKSEK,52HAFTALIK.DUSUK,G.YÜKSEK,G.DÜŞÜK,5YIL.YUK.,5YIL.DUS.,7GUNLUK.F,7GUNLUK.F%,30GUNLUK.F,30GUNLUK.F%,BU.YIL.FARK.,BU.YIL.FARK%,BU.HAFTA.FARK,BU.HAFTA.FARK%,BU.AY.FARK,BU.AY.FARK%,YABANCI PAYI %,YABANCI PAYI HAFTALIK DEĞ. %,YABANCI PAYI AYLIK DEĞ. %,YABANCI PAYI YILLIK DEĞ. %,YATFONORAN,EMEKLILIKYATFONORAN,TEOESLESME FARK(%),OD.SER,N.KAR,PIY.DEG,PIY.DEG.($),PIY.DEG.(E),F/K,PD/DD,PD/EFK,FD/FAVOK,PD/EBITDA,5YILLIKGETIRI%,NETBORC
A1CAP,A1 CAPITAL YATIRIM,-3.326810176125245,9.88,9.88,9.9,-0.34,10.29,9.88,14035383,140947263.89,18:19:01,140947263.89,198477352.07036495,342931210.5142958,127828306.80976582,182540410.83852,-29961735.330000304,31.90999984741211,,,,,,ARACIKURUM,,S,0.0,0.0,0.0,0.04625853896141052,,14035383,22941660.0,32690270.0,19197530.0,16748050.0,10.62,9.88,12.26,9.39,12.26,4.28,12.26,4.28,10.29,9.88,12.26,4.28,-0.57,-5.454545454545454,0.03,0.30456852791878175,4.28,76.42857142857143,-0.36,-3.515625,0.3,3.131524008350731,1.0533437,90.736305,-56.09862,-71.24185,3.58537,0.0,0,675000000.0,847110804,6669000000.0,162445534.83042723,139037665.0511973,6.301853986732938,1.19,,0.8888938215338759,1.4395225522923425,,-2550945103.0
A1YEN,A1 YENILENEBILIR ENERJI,-3.171856978085352,33.58,33.56,33.58,-1.1,34.96,33.42,4044451,137193453.36,18:19:01,137193453.36,158212681.85125005,93924918.73893136,66618443.86053427,67010573.93266,-362427.3799999882,69.73999786376953,,,,,,ELEKTRIK,,S,0.0,0.0,0.0,0.02682250924408436,,4044451,2304802.0,2904195.0,4580625.0,2316611.0,37.94,31.2,37.94,29.72,37.94,23.6,37.94,23.44,34.96,33.42,78.4,7.95,1.98,6.265822784810127,1.8,5.663939584644431,5.66,20.27220630372493,2.16,6.874602164226608,2.06,6.535532994923858,5.097602,10.359729,343.11987,0.0,3.46258,0.52062,0,55000000.0,-12163880,1846900000.0,44983145.629554585,38512779.86617179,37.39950995281777,0.65,,8.857615886873239,6.93960372213756,,510458062.0
ACSEL,ACISELSAN ACIPAYAM SELULOZ SAN.,-1.5561015561015563,120.2,120.2,120.4,-1.9,125.0,120.1,194222,23775634.3,18:19:01,23775634.3,33054039.572750047,29098877.72504453,24520379.26877967,21157718.10245,,48.31999969482422,46.89085388183594,,,,,KIMYA,,,,,,0.014246871694922447,,194222,187243.9,250240.7,269759.5,209369.1,127.9,118.5,127.9,107.5,131.4,93.0,142.8,93.0,125.0,120.1,195.2513,8.323909,0.8,0.6700167504187604,10.5,9.571558796718325,6.2,5.438596491228071,0.6,0.5016722408026756,8.0,7.130124777183601,0.6424029,-11.033443,34.188133,346.6893,0.38874,0.0,0,10721700.0,-56500170,1288748340.0,31388788.92093059,26873832.43343674,0.0,2.54,,57.31708601465882,48.87165083904026,1260.0400544242318,222706628.0
ADEL,ADEL KALEMCILIK,-2.8469750889679717,38.22,38.22,38.26,-1.12,39.38,38.12,3115170,119810225.96,18:19:01,119810225.96,217189552.71077183,230567577.88378775,147895680.75305843,122060540.67515,,27.600000381469727,4.1763434410095215,,,,,IMALAT,,,,,,0.06028294190764427,,3115170,3587647.0,6125049.0,5604615.0,3968323.0,40.58,37.0,41.76,30.52,44.5,26.0,58.6504767016037,26.0,39.38,38.12,74.11122,1.420326,0.34,0.897571277719113,7.36,23.84964355152301,4.74,14.157706093189963,1.06,2.8525296017222823,6.56,20.720151610865447,0.3733537,4.643583,211.61327,-48.900776,0.03213,0.0,0,259875000.0,-164589000,9932422500.0,241914347.16106153,207117440.72787464,0.0,7.27,,103.4478145941684,90.47642309609594,2573.5499034668005,1423988000.0
ADESE,ADESE GAYRIMENKUL YATIRIM,5.5586130985140345,19.18,19.17,19.18,1.01,19.53,17.87,194025580,3634888699.92,18:19:01,3634888699.92,950282312.3323928,931688499.279778,292700872.62673914,387217743.30298,,92.37999725341795,,,,,,GAYRIMENKUL,,,,,,0.3897385001182556,,194025580,61105820.0,57000260.0,51379100.0,59720320.0,19.53,17.87,19.53,14.34,19.53,1.73,19.53,1.73,19.53,17.87,19.53,0.62,0.68,3.675675675675676,4.2,28.037383177570096,17.0,779.8165137614678,0.91,4.980842911877395,3.88,25.359477124183005,9.427544,1.9579955,40.007378,185.64229,17.92021,0.0,0,1008000000.0,140100000,19333440000.0,470885779.9773976,403153673.0607182,27.404699502040454,1.7,,86.90104418127484,86.24693320454662,992.596717310822,146628000.0
ADGYO,ADRA GMYO,-1.332741003998223,44.42,44.4,44.42,-0.6,45.46,44.02,936019,41894760.72,18:19:01,41894760.72,52179312.9303204,95440164.5872744,46560531.42484529,44946982.5069,,27.969999313354492,,,,,,GAYRIMENKUL,,,,,,0.07069744914770126,,936019,1322754.0,2269735.0,1146539.0,1386241.0,47.12,44.02,48.9,34.24,48.9,26.02,48.9,26.02,45.46,44.02,48.9,24.92,-2.02,-4.3496985357450475,9.02,25.480225988700564,10.98,32.83492822966507,-0.56,-1.2449977767896845,9.4,26.841804683038266,2.815339,35.21758,-8.006075,-26.877327,13.22303,0.1921,0,293700000.0,140358207,13046154000.0,317752474.5723082,272047028.589624,15.214191503430325,1.56,,24.932863177443707,26.548273059015163,,-793832655.0
AEFES,ANADOLU EFES BIRACILIK A.S.,-1.4848657909765848,17.25,17.24,17.25,-0.26,17.59,17.18,59535656,1029891945.7,18:19:01,1029891945.7,1115608783.8128345,1356617860.8479826,1100661514.4722478,1273144586.9296,,32.779998779296875,62.20513916015625,17.309085,17.266531,17.362163,,GIDA,,,1.3496397733688354,1.1621663570404053,0.9790043234825134,0.7084663510322571,,59535656,77800030.0,80174210.0,63313030.0,63785900.0,18.04,17.18,18.13,15.02,19.06913,13.25,23.9777239210024,13.25,17.59,17.18,30.22006,1.547251,-0.7,-3.8997214484679663,2.15,14.23841059602649,-1.74972,-9.20918834593352,-0.49,-2.7621195039458852,2.09,13.786279683377307,36.097286,1.1251842,-0.91698664,-33.202766,10.05182,8.24954,0,5921052630.0,5893931000,102138157867.5,2487679695.5374885,2129852395.8456495,9.07180362304031,1.09,,4.587556728785296,2.835326599340131,963.86980947171,63121320000.0
AFYON,AFYON CIMENTO,-1.1821974965229485,14.21,14.21,14.22,-0.17,14.51,14.2,4058114,58123831.98,18:19:01,58123831.98,93595348.6408816,78632866.38871127,117242188.1584995,74460930.98698,,48.970001220703125,1.810137152671814,,,,,TASTOPRAK,,,,,,0.05667521059513092,,4058114,5332934.0,5410358.0,6507574.0,8303599.0,14.73,14.1,16.29,13.72,16.29,11.7,16.4196097587401,11.6842615518679,14.51,14.2,16.41961,2.493588,0.13,0.9232954545454546,-0.81,-5.3928095872170445,0.37755,2.7294513987037727,-0.09,-0.6293706293706294,-1.31,-8.440721649484535,2.507776,2.358282,-20.197348,119.6112,4.56267,3.637,0,400000000.0,-6290688,5684000000.0,138439655.508359,118526525.94039766,19.60507027679572,0.87,,5.8239983027622655,6.572178030602619,314.31252984887067,-647069138.0
AGESA,AGESA HAYAT VE EMEKLILIK,0.4759071980963712,168.9,168.9,169.0,0.8,169.2,165.5,203144,33928504.9,18:19:01,33928504.9,62128483.55010723,47288655.64406265,55015260.76887456,56130652.7774,,19.8700008392334,,,,,,SIGORTA,,,,,,0.1317993849515915,,203144,393701.5,280360.3,369939.8,418913.1,170.9,165.5,174.5,161.9,174.5,120.4,174.5,91.6266389469314,169.2,165.5,174.5,10.67449,2.1,1.2589928057553958,3.7,2.2397094430992737,12.8806,8.255768192929853,1.6,0.9563658099222953,-5.0,-2.8752156411730883,50.94071,0.49138543,-0.8009289,20.662273,28.62326,0.96931,0,180000000.0,2384633607,30402000000.0,740471922.3724718,633963529.4765308,7.714563681310009,4.56,,0.0,,1442.965984405903,
AGHOL,ANADOLU GRUBU HOLDING,0.06825938566552901,29.32,29.3,29.32,0.02,29.58,28.7,8443561,245950884.74,18:19:01,245950884.74,244586215.13575616,257205723.05120805,222888413.94347537,218994490.40736,,37.87,26.735046110835206,29.22728,29.17115,29.280063,,HOLDING,,,,,0.7271935343742371,0.5262409448623657,,8443561,7535327.5,8706019.0,8322946.0,7404847.5,29.88,28.7,31.74,27.725,33.7865,23.88,37.9301281435176,23.88,29.58,28.7,46.830345,1.5037546,-0.4,-1.3458950201884254,1.445,5.183856502242152,-1.37717,-4.48630932427973,-0.1,-0.33990482664853844,1.32,4.714285714285714,21.184486,-0.87724084,-2.5621243,-1.6860851,33.0164,1.85905,0,2435345179.6,1042522000,71404320665.872,1739294563.0328732,1488642297.8966591,43.95088426774933,0.71,,2.8282757678845036,1.3020809214607558,1757.440786156111,83694419000.0
AGROT,AGROTECH TEKNOLOJI,-4.662004662004662,8.18,8.18,8.19,-0.4,8.62,8.18,21163001,176441940.55,18:19:01,176441940.55,269325008.51613045,226066553.66615605,332196895.8893292,216434643.28352,-34607727.83999994,32.119998931884766,61.25529479980469,,,,,TARIM,,S,0.0,0.0,0.0,0.068087244219,,21163001,24815680.0,27134170.0,31654380.0,30580210.0,8.76,8.18,8.76,7.91,11.45,6.66,17.21,6.66,8.62,8.18,47.24,5.73,-0.08,-0.9685230024213076,0.1,1.2376237623762376,-2.5,-23.40823970037453,-0.17,-2.035928143712575,-0.33,-3.8777908343125738,6.5526567,10.634349,37.13733,14.075645,0.17562,2e-05,0,1200000000.0,-192309000,9816000000.0,239097159.7712696,204635357.76268676,0.0,1.35,,0.0,0.0,,-700941267.0
